mutual_fund_id,amount_added,investment_date,investment_type,nav,units_alloted
1,500,2021-08-14,SIP,71.14,7.028
2,500,2021-09-14,SIP,77.14,6.481
3,1000,2021-10-14,SIP,81.54,12.263
4,500,2021-10-15,LUMPSUM,81.84,6.109
5,1000,2021-11-14,SIP,81.5,12.269
6,500,2021-12-14,SIP,78.44,6.374
7,500,2022-01-14,LUMPSUM,80.59,6.204
8,500,2022-01-14,LUMPSUM,80.59,6.204
9,500,2022-02-14,SIP,72.16,6.929
10,500,2022-03-14,LUMPSUM,72.23,6.922
11,500,2022-04-14,SIP,74.7,6.693
12,500,2022-05-14,SIP,67.79,7.375
13,500,2022-06-14,SIP,66.64,7.503
14,500,2022-07-14,SIP,69.92,7.151
15,500,2022-08-14,SIP,77.85,6.422
16,500,2022-09-14,LUMPSUM,79.95,6.254
17,500,2022-10-14,SIP,76.25,6.557
18,500,2022-11-14,SIP,77.05,6.489
19,500,2022-12-14,SIP,78.37,6.38
20,500,2023-01-14,SIP,73.86,6.769
21,500,2023-02-14,SIP,74.92,6.674
22,500,2023-03-14,SIP,72.23,6.922
23,500,2023-04-14,SIP,74.81,6.683
24,500,2023-05-14,LUMPSUM,78.55,6.365
25,500,2023-06-14,SIP,83.5,5.988
26,500,2023-07-14,SIP,85.35,5.858
