fund_id,credited_amount,debited_amount,transaction_date
1,1000,0,2021-01-18
3,150,0,2021-01-19
4,50,0,2021-01-20
5,350,0,2021-02-09
6,200,0,2021-02-10
7,600,0,2021-05-03
8,400,0,2021-05-07
9,150,0,2021-05-07
10,50,0,2021-05-07
11,1000,0,2021-05-14
12,1000,0,2021-05-31
13,1000,0,2021-06-08
14,650,0,2021-06-14
15,1050,0,2021-06-16
16,2500,0,2021-06-21
17,510,0,2021-07-02
18,700,0,2021-07-07
19,700,0,2021-07-08
20,600,0,2021-07-08
21,50,0,2021-07-15
22,50,0,2021-07-29
23,500,0,2021-11-04
24,300,0,2021-11-22
25,200,0,2021-11-22
26,500,0,2021-11-22
27,50,0,2021-11-30
28,900,0,2021-12-01
29,50,0,2021-12-10
30,50,0,2021-12-23
31,50,0,2021-12-31
32,50,0,2022-01-12
33,200,0,2022-01-19
34,300,0,2022-03-08
35,500,0,2022-07-11
36,500,0,2022-10-13
37,500,0,2022-10-24
38,0,34.07,2021-09-01
39,0,3.6,2022-03-07
40,0,12.88,2022-04-11
41,0,38.51,2022-08-10
42,0,83.78,2022-09-19
43,0,3.94,2022-11-21
44,0,6.15,2023-01-02
45,0,219.14,2023-02-20
